,sakarya,malatya,bursa,konya ,diyarbakir ,kocaeli,istanbul ,erzurum ,maras,tekirdag ,denizli 
2019-01-01,25,11,56,14,,37,262,15,15,7,20
2019-01-02,21,12,45,30,,35,237,20,23,6,20
2019-01-03,26,15,55,20,21,31,235,15,22,3,20
2019-01-04,12,10,67,18,9,27,246,14,33,2,15
2019-01-05,24,5,50,22,15,30,258,14,26,1,22
2019-01-06,17,11,51,13,14,29,276,16,29,1,25
2019-01-07,21,11,VB bulunmadı,15,,28,282,20,11,5,28
2019-01-08,26,16,61,12,,29,285,11,18,5,22
2019-01-09,21,11,55,23,,32,295,16,19,10,33
2019-01-10,18,11,64,24,18,37,268,12,30,6,34
2019-01-11,22,4,82,19,23,39,269,14,12,10,29
2019-01-12,18,9,54,14,10,20,272,17,23,6,26
2019-01-13,24,6,60,21,21,24,236,16,14,5,25
2019-01-14,26,13,60,9,15,28,303,13,25,5,27
2019-01-15,22,14,56,27,20,35,269,17,19,3,40
2019-01-16,24,15,49,17,,34,306,17,15,7,24
2019-01-17,21,8,65,15,20,35,279,17,22,9,22
2019-01-18,22,10,67,24,,44,273,12,20,5,30
2019-01-19,18,8,51,16,22,39,286,17,13,5,25
2019-01-20,19,12,56,12,17,34,265,12,24,6,30
2019-01-21,19,11,64,13,14,31,284,24,27,7,27
2019-01-22,27,7,59,18,23,47,262,14,30,10,19
2019-01-23,28,6,58,12,16,39,260,16,11,10,29
2019-01-24,26,10,62,15,11,33,294,24,26,5,33
2019-01-25,19,9,69,10,21,46,290,10,23,3,37
2019-01-26,22,9,57,20,,29,288,17,18,5,21
2019-01-27,29,5,64,16,,30,278,16,12,10,25
2019-01-28,22,10,60,19,,34,282,12,19,5,31
2019-01-29,31,13,64,21,23,37,280,15,21,6,26
2019-01-30,29,18,56,20,,33,273,12,11,7,23
2019-01-31,21,15,58,12,13,31,277,9,20,9,20
2019-02-01,25,18,31,10,19,27,255,17,19,3,20
2019-02-02,26,9,54,23,16,28,247,12,14,3,28
2019-02-03,21,11,71,18,12,31,253,13,12,6,30
2019-02-04,35,10,63,16,22,43,278,15,18,5,29
2019-02-05,18,13,57,14,19,41,239,15,18,8,21
2019-02-06,31,10,66,23,,27,245,20,16,9,26
2019-02-07,19,10,48,13,11,27,285,11,16,5,21
2019-02-08,22,14,55,18,13,29,231,16,14,6,29
2019-02-09,25,14,49,18,,32,244,11,9,3,19
2019-02-10,19,4,54,14,,27,209,12,21,7,25
2019-02-11,20,10,54,11,13,32,226,18,6,2,26
2019-02-12,23,11,60,12,14,27,225,13,16,5,26
