date,sakarya ,malatya ,bursa ,konya ,diyarbakir,kocaeli,istanbul ,erzurum ,maras,tekirdag,denizli 
2020-01-01,25,11,46,14,,25,228,14,22,6,20
2020-01-02,21,10,52,13,,41,210,15,13,7,19
2020-01-03,17,7,44,17,16,37,262,13,17,4,23
2020-01-04,23,8,42,19,13,25,257,9,18,5,19
2020-01-05,18,17,53,12,16,33,245,11,11,3,18
2020-01-06,16,8,46,20,10,31,264,23,11,5,22
2020-01-07,21,16,35,17,,25,234,7,25,6,16
2020-01-08,29,10,38,20,,35,260,16,18,4,18
2020-01-09,30,9,44,21,,26,245,8,22,7,19
2020-01-10,26,12,59,27,15,39,253,16,28,5,18
2020-01-11,21,10,45,21,19,43,284,9,16,8,25
2020-01-12,25,9,53,26,12,30,227,15,7,6,37
2020-01-13,22,9,48,21,14,33,237,12,20,6,29
2020-01-14,28,14,55,20,20,47,272,14,15,3,21
2020-01-15,27,12,50,17,24,34,258,13,17,7,21
2020-01-16,35,10,71,12,,38,259,15,13,10,27
2020-01-17,23,12,50,15,14,38,276,15,19,4,20
2020-01-18,23,7,52,15,,22,266,16,17,3,14
2020-01-19,20,17,49,17,18,33,246,12,16,10,25
2020-01-20,28,12,60,18,12,34,253,16,24,6,24
2020-01-21,26,17,48,24,23,34,270,19,19,3,29
2020-01-22,22,13,49,19,21,43,245,13,14,4,23
2020-01-23,25,12,61,6,12,32,271,21,18,4,30
2020-01-24,22,9,55,14,19,30,244,15,16,3,24
2020-01-25,26,8,52,15,15,33,264,12,17,3,26
2020-01-26,22,4,56,12,,32,258,21,18,5,27
2020-01-27,26,13,63,12,,25,273,13,22,5,23
2020-01-28,33,13,60,22,,40,269,17,17,4,23
2020-01-29,27,10,51,15,16,42,249,15,17,8,27
2020-01-30,24,12,43,10,,30,226,12,11,3,24
2020-01-31,14,12,34,19,18,35,259,10,22,3,24
2020-02-01,27,5,48,10,23,26,222,11,22,4,22
2020-02-02,26,14,44,13,17,22,243,12,14,5,21
2020-02-03,22,12,78,20,14,25,243,16,21,6,23
2020-02-04,19,7,57,19,22,25,229,10,11,9,23
2020-02-05,19,14,49,8,12,44,248,9,19,5,24
2020-02-06,26,17,50,8,,32,220,17,17,6,22
2020-02-07,24,14,60,13,11,35,230,15,13,2,22
2020-02-08,20,7,31,15,19,30,228,17,13,6,25
2020-02-09,27,15,41,15,,27,205,10,18,6,17
2020-02-10,16,12,57,17,,35,248,19,20,6,19
2020-02-11,20,8,,13,16,26,241,13,15,3,21
2020-02-12,26,8,45,9,15,24,235,13,14,7,24
2020-02-13,19,12,42,23,14,20,223,11,16,7,20
2020-02-14,19,12,51,11,18,30,226,9,13,3,22
2020-02-15,22,5,43,14,12,30,217,13,15,8,24
2020-02-16,20,9,48,14,,23,205,7,12,2,25
2020-02-17,14,15,49,12,,27,219,20,19,6,25
2020-02-18,30,13,42,23,11,26,211,9,14,2,24
2020-02-19,19,9,58,26,10,25,235,13,18,2,20
2020-02-20,18,8,51,10,15,31,198,9,10,5,20
2020-02-21,21,7,44,17,,27,220,10,11,4,24
2020-02-22,11,8,39,11,14,21,176,9,22,1,25
2020-02-23,15,7,48,13,16,34,195,13,11,3,25
2020-02-24,15,9,52,16,,20,236,17,17,3,14
2020-02-25,17,15,42,10,11,34,208,16,20,2,20
2020-02-26,18,7,58,13,,28,198,8,14,8,14
2020-02-27,21,11,50,21,17,24,246,16,18,2,14
2020-02-28,23,9,51,16,12,38,206,8,12,5,21
2020-02-29,16,13,32,22,20,22,195,13,19,1,24
2020-03-01,15,9,53,16,13,29,231,9,14,7,13
2020-03-02,15,7,49,16,,31,208,8,14,5,19
2020-03-03,21,8,66,14,15,33,221,14,15,3,26
2020-03-04,19,14,47,14,,24,204,4,15,2,17
2020-03-05,14,7,50,13,,18,203,13,14,3,16
2020-03-06,22,14,44,18,16,26,193,10,9,4,22
2020-03-07,17,11,46,11,16,20,230,10,11,4,7
2020-03-08,18,6,46,17,19,28,196,9,15,5,22
2020-03-09,24,11,45,10,16,21,202,13,14,3,15
2020-03-10,16,9,49,15,24,35,223,20,24,2,22
2020-03-11,19,9,50,11,13,24,237,16,14,1,20
2020-03-12,15,8,49,13,21,35,218,12,24,3,20
2020-03-13,27,7,43,11,11,35,204,9,15,3,18
2020-03-14,11,15,46,15,16,26,206,13,17,8,14
2020-03-15,22,8,58,18,19,16,254,13,20,6,22
2020-03-16,25,11,58,8,9,27,215,8,11,3,17
2020-03-17,17,14,40,18,12,27,271,13,22,3,23
2020-03-18,20,9,53,10,20,21,266,9,11,5,16
2020-03-19,22,16,56,20,18,26,281,10,14,3,27
2020-03-20,16,7,63,22,9,27,217,15,28,6,20
2020-03-21,20,9,54,15,12,26,250,17,15,8,16
2020-03-22,23,19,48,10,18,25,250,17,17,6,14
2020-03-23,23,12,38,17,,28,236,14,9,4,21
2020-03-24,23,8,37,16,,30,232,11,23,11,28
2020-03-25,20,9,60,17,14,17,243,15,15,6,24
2020-03-26,30,20,38,18,,21,274,8,15,5,22
2020-03-27,25,9,56,20,13,22,269,9,20,8,18
2020-03-28,25,13,45,11,9,25,286,17,12,4,12
2020-03-29,24,6,61,23,15,33,297,15,21,5,24
2020-03-30,18,13,56,18,17,21,294,13,19,5,20
2020-03-31,27,6,55,17,9,39,311,5,11,3,15
2020-04-01,19,14,51,17,7,27,310,7,19,7,30
2020-04-02,19,5,50,17,12,21,329,10,10,9,21
2020-04-03,18,9,53,12,12,21,325,7,24,8,25
2020-04-04,22,8,44,10,9,24,345,14,17,6,22
2020-04-05,18,10,53,19,15,31,311,22,14,2,22
2020-04-06,21,10,59,18,16,34,331,9,15,4,21
2020-04-07,20,7,40,11,18,37,340,9,14,3,15
2020-04-08,21,8,47,10,10,23,323,7,11,8,19
2020-04-09,28,6,51,18,,24,331,19,17,8,19
2020-04-10,37,12,56,11,15,22,317,5,15,8,19
2020-04-11,15,12,55,11,14,21,291,10,16,2,21
2020-04-12,29,13,60,23,9,42,313,15,21,5,17
2020-04-13,20,6,42,6,13,27,335,14,16,4,23
2020-04-14,28,12,60,15,11,36,304,9,21,4,18
2020-04-15,23,12,51,24,,36,291,12,11,3,22
2020-04-16,24,17,46,25,,32,288,12,19,8,26
2020-04-17,24,11,40,14,,27,284,10,19,5,26
2020-04-18,18,12,56,13,10,28,295,10,11,5,12
2020-04-19,24,11,37,19,,43,295,16,18,5,18
2020-04-20,28,13,39,20,19,33,276,13,22,6,19
2020-04-21,28,15,35,18,13,39,293,14,17,3,19
2020-04-22,21,11,44,17,,24,257,12,19,5,16
2020-04-23,20,12,37,17,18,23,303,13,19,3,17
2020-04-24,23,7,53,17,,30,289,10,12,4,16
2020-04-25,25,5,47,17,13,25,236,4,8,3,14
2020-04-26,25,7,50,17,13,49,268,7,19,4,28
2020-04-27,20,8,55,15,14,27,270,13,12,3,15
2020-04-28,19,9,38,11,,34,294,15,15,6,17
2020-04-29,19,10,38,18,16,26,258,11,14,3,27
2020-04-30,21,5,56,16,13,27,274,6,16,2,14
2020-05-01,21,7,42,18,7,18,231,4,13,9,20
2020-05-02,14,7,41,14,,19,213,12,20,5,14
2020-05-03,25,9,41,18,14,30,246,15,10,6,23
2020-05-04,17,10,45,17,18,20,237,10,13,7,21
2020-05-05,19,5,32,21,,32,242,14,22,3,17
2020-05-06,19,7,56,14,,24,210,6,12,4,23
2020-05-07,25,8,43,16,14,27,269,8,13,4,22
2020-05-08,16,8,36,17,15,27,221,13,15,8,17
2020-05-09,12,10,46,12,7,27,223,20,17,1,11
2020-05-10,23,11,33,16,17,29,265,11,17,1,12
2020-05-11,15,4,49,10,8,29,246,8,19,9,20
2020-05-12,23,14,57,14,17,22,249,10,20,5,20
2020-05-13,13,8,51,14,,33,199,9,21,5,16
2020-05-14,15,11,40,11,,22,210,10,13,3,16
2020-05-15,28,8,50,13,15,18,202,13,16,4,14
2020-05-16,21,6,43,23,,16,205,7,17,4,20
2020-05-17,19,15,49,16,14,16,231,9,12,7,22
2020-05-18,18,12,60,11,10,20,194,10,24,4,14
2020-05-19,10,4,42,22,13,28,238,14,16,2,27
2020-05-20,14,6,49,27,11,26,188,12,11,3,23
2020-05-21,20,4,46,18,,21,216,16,17,5,22
2020-05-22,17,9,43,20,17,15,223,12,21,2,14
2020-05-23,11,9,45,12,11,20,184,11,13,4,17
2020-05-24,22,8,38,15,6,17,201,11,8,5,21
2020-05-25,16,6,40,21,13,15,190,11,14,5,19
2020-05-26,15,10,37,17,,19,219,13,18,8,19
2020-05-27,14,8,52,9,16,32,185,12,15,2,14
2020-05-28,15,7,38,21,15,20,216,20,16,3,19
2020-05-29,12,4,40,16,10,22,174,13,10,5,12
2020-05-30,8,10,52,15,,16,206,14,13,4,16
2020-05-31,20,10,41,12,15,21,181,13,19,3,22
2020-06-01,22,8,39,20,5,17,223,9,19,3,21
